Index,Variant,region,Location code,ISO3,Type,Year,total_pop_january,total_pop_july,male_pop_july,female_pop_july,pop_density_july,sex_ratio_july,age_median_july,life_expectancy_birth,male_life_expectancy_birth,female_life_expectancy_birth,infant_mortality_rate_per_thou,under_5_deaths
5135,Estimates,Morocco,504,MAR,Country/Area,1974,  16 528,  16 734,  8 385,  8 349,37.5,100.4,15.7,50.8,49.8,51.8,117.3,121
5136,Estimates,Morocco,504,MAR,Country/Area,1975,  16 939,  17 151,  8 590,  8 561,38.4,100.3,15.8,51.4,50.4,52.3,114.1,118
5137,Estimates,Morocco,504,MAR,Country/Area,1976,  17 362,  17 574,  8 799,  8 776,39.4,100.3,15.9,52,51.1,53,110.4,115
5138,Estimates,Morocco,504,MAR,Country/Area,1977,  17 786,  18 015,  9 017,  8 998,40.4,100.2,16,52.8,51.8,53.8,106.4,111
5139,Estimates,Morocco,504,MAR,Country/Area,1978,  18 243,  18 477,  9 248,  9 229,41.4,100.2,16.2,53.6,52.6,54.6,102.4,108
5140,Estimates,Morocco,504,MAR,Country/Area,1979,  18 712,  18 956,  9 488,  9 468,42.5,100.2,16.3,54.4,53.3,55.5,98,104
5141,Estimates,Morocco,504,MAR,Country/Area,1980,  19 200,  19 460,  9 741,  9 718,43.6,100.2,16.4,55.2,54.1,56.4,93.7,100
5142,Estimates,Morocco,504,MAR,Country/Area,1981,  19 720,  19 985,  10 006,  9 980,44.8,100.3,16.6,56,54.8,57.3,89.5,97
5143,Estimates,Morocco,504,MAR,Country/Area,1982,  20 251,  20 520,  10 273,  10 247,46,100.3,16.7,56.9,55.6,58.2,85.3,94
5144,Estimates,Morocco,504,MAR,Country/Area,1983,  20 790,  21 061,  10 545,  10 516,47.2,100.3,16.9,57.7,56.4,59,81.3,89
5145,Estimates,Morocco,504,MAR,Country/Area,1984,  21 331,  21 594,  10 814,  10 780,48.4,100.3,17,58.4,57.1,59.8,77.7,85
5146,Estimates,Morocco,504,MAR,Country/Area,1985,  21 856,  22 114,  11 076,  11 038,49.6,100.3,17.2,59.2,57.8,60.6,74.1,80
5147,Estimates,Morocco,504,MAR,Country/Area,1986,  22 372,  22 601,  11 320,  11 281,50.6,100.3,17.4,60,58.6,61.4,70.7,75
5148,Estimates,Morocco,504,MAR,Country/Area,1987,  22 830,  23 054,  11 546,  11 508,51.7,100.3,17.6,60.6,59.2,62.1,67.7,70
5149,Estimates,Morocco,504,MAR,Country/Area,1988,  23 279,  23 501,  11 768,  11 732,52.7,100.3,17.9,61.2,59.8,62.8,65,66
5150,Estimates,Morocco,504,MAR,Country/Area,1989,  23 722,  23 939,  11 987,  11 953,53.6,100.3,18.1,61.8,60.3,63.4,62.3,62
5151,Estimates,Morocco,504,MAR,Country/Area,1990,  24 157,  24 376,  12 204,  12 172,54.6,100.3,18.4,62.4,60.9,64,59.8,59
5152,Estimates,Morocco,504,MAR,Country/Area,1991,  24 594,  24 799,  12 414,  12 385,55.6,100.2,18.7,62.9,61.4,64.5,57.5,56
5153,Estimates,Morocco,504,MAR,Country/Area,1992,  25 004,  25 212,  12 619,  12 594,56.5,100.2,19,63.4,61.9,65,55.5,53
5154,Estimates,Morocco,504,MAR,Country/Area,1993,  25 421,  25 615,  12 818,  12 797,57.4,100.2,19.3,63.9,62.3,65.5,53.4,49
5155,Estimates,Morocco,504,MAR,Country/Area,1994,  25 808,  26 001,  13 008,  12 993,58.3,100.1,19.6,64.3,62.8,66,51.4,46
5156,Estimates,Morocco,504,MAR,Country/Area,1995,  26 194,  26 399,  13 208,  13 192,59.2,100.1,19.9,64.7,63.2,66.4,49.8,44
5157,Estimates,Morocco,504,MAR,Country/Area,1996,  26 605,  26 808,  13 416,  13 392,60.1,100.2,20.2,65.2,63.7,66.9,47.7,42
5158,Estimates,Morocco,504,MAR,Country/Area,1997,  27 011,  27 213,  13 624,  13 589,61,100.3,20.5,65.6,64.1,67.3,46.1,40
5159,Estimates,Morocco,504,MAR,Country/Area,1998,  27 415,  27 622,  13 835,  13 787,61.9,100.3,20.8,66,64.4,67.7,44.5,38
5160,Estimates,Morocco,504,MAR,Country/Area,1999,  27 828,  28 027,  14 045,  13 983,62.8,100.4,21.1,66.4,64.8,68.1,42.9,36
5161,Estimates,Morocco,504,MAR,Country/Area,2000,  28 227,  28 423,  14 251,  14 173,63.7,100.6,21.4,66.8,65.1,68.5,41.3,34
5162,Estimates,Morocco,504,MAR,Country/Area,2001,  28 620,  28 815,  14 455,  14 359,64.6,100.7,21.7,67.2,65.6,68.9,39.6,32
5163,Estimates,Morocco,504,MAR,Country/Area,2002,  29 009,  29 198,  14 656,  14 542,65.4,100.8,22,67.6,66,69.3,38,30
5164,Estimates,Morocco,504,MAR,Country/Area,2003,  29 387,  29 571,  14 850,  14 722,66.3,100.9,22.3,68,66.3,69.6,36.5,29
5165,Estimates,Morocco,504,MAR,Country/Area,2004,  29 756,  29 953,  15 043,  14 910,67.1,100.9,22.6,68.3,66.7,69.9,35.1,28
5166,Estimates,Morocco,504,MAR,Country/Area,2005,  30 151,  30 358,  15 248,  15 110,68,100.9,23,68.7,67.1,70.5,33.4,27
5167,Estimates,Morocco,504,MAR,Country/Area,2006,  30 566,  30 771,  15 463,  15 309,68.9,101,23.3,69.2,67.5,70.9,31.9,26
5168,Estimates,Morocco,504,MAR,Country/Area,2007,  30 977,  31 186,  15 679,  15 508,69.9,101.1,23.7,69.6,68,71.4,30.2,25
5169,Estimates,Morocco,504,MAR,Country/Area,2008,  31 396,  31 607,  15 898,  15 708,70.8,101.2,24,70.1,68.4,71.8,28.6,24
5170,Estimates,Morocco,504,MAR,Country/Area,2009,  31 817,  32 031,  16 121,  15 910,71.8,101.3,24.4,70.5,68.8,72.1,27.2,23
5171,Estimates,Morocco,504,MAR,Country/Area,2010,  32 244,  32 467,  16 349,  16 118,72.7,101.4,24.7,70.8,69.2,72.5,25.9,22
5172,Estimates,Morocco,504,MAR,Country/Area,2011,  32 690,  32 913,  16 580,  16 332,73.7,101.5,25,71.3,69.6,73,24.5,21
5173,Estimates,Morocco,504,MAR,Country/Area,2012,  33 136,  33 355,  16 809,  16 546,74.7,101.6,25.4,71.7,69.9,73.5,23.3,19
5174,Estimates,Morocco,504,MAR,Country/Area,2013,  33 575,  33 788,  17 032,  16 755,75.7,101.7,25.7,72.1,70.4,74,22,18
5175,Estimates,Morocco,504,MAR,Country/Area,2014,  34 000,  34 205,  17 249,  16 956,76.6,101.7,26.1,72.5,70.8,74.4,20.9,17
5176,Estimates,Morocco,504,MAR,Country/Area,2015,  34 409,  34 608,  17 458,  17 149,77.5,101.8,26.4,72.9,71.2,74.7,19.8,16
5177,Estimates,Morocco,504,MAR,Country/Area,2016,  34 806,  35 023,  17 672,  17 351,78.5,101.9,26.8,73.2,71.5,75.1,18.9,15
5178,Estimates,Morocco,504,MAR,Country/Area,2017,  35 241,  35 446,  17 888,  17 558,79.4,101.9,27.1,73.6,71.8,75.6,18,14
5179,Estimates,Morocco,504,MAR,Country/Area,2018,  35 652,  35 840,  18 091,  17 748,80.3,101.9,27.5,73.9,72,76,17.3,13
5180,Estimates,Morocco,504,MAR,Country/Area,2019,  36 028,  36 211,  18 285,  17 926,81.1,102,27.9,74.2,72.3,76.4,16.6,13
5181,Estimates,Morocco,504,MAR,Country/Area,2020,  36 394,  36 584,  18 472,  18 112,82,102,28.2,73.1,70.9,75.7,16,12
5182,Estimates,Morocco,504,MAR,Country/Area,2021,  36 774,  36 954,  18 653,  18 301,82.8,101.9,28.5,73.4,71.3,75.7,15.4,12
5183,Estimates,Morocco,504,MAR,Country/Area,2022,  37 134,  37 329,  18 838,  18 492,83.6,101.9,28.9,75.2,73.1,77.4,14.8,11
5184,Estimates,Morocco,504,MAR,Country/Area,2023,  37 524,  37 713,  19 023,  18 689,84.5,101.8,29.2,75.3,73.2,77.6,14.3,11
5185,Estimates,Sudan,729,SDN,Country/Area,1950,  6 099,  6 190,  3 095,  3 094,3.5,100,16.1,45.8,45.1,46.6,124.6,60
5186,Estimates,Sudan,729,SDN,Country/Area,1951,  6 281,  6 376,  3 190,  3 186,3.6,100.1,16.1,46.2,45.5,47,122.6,61
5187,Estimates,Sudan,729,SDN,Country/Area,1952,  6 471,  6 569,  3 287,  3 281,3.7,100.2,16.1,46.5,45.8,47.2,120.7,62
5188,Estimates,Sudan,729,SDN,Country/Area,1953,  6 666,  6 766,  3 387,  3 378,3.8,100.3,16.1,46.9,46.2,47.6,118.8,63
5189,Estimates,Sudan,729,SDN,Country/Area,1954,  6 866,  6 970,  3 491,  3 479,3.9,100.3,16,47.3,46.6,48,117,63
5190,Estimates,Sudan,729,SDN,Country/Area,1955,  7 074,  7 182,  3 598,  3 583,4.1,100.4,16,47.7,47,48.4,115.3,64
5191,Estimates,Sudan,729,SDN,Country/Area,1956,  7 290,  7 402,  3 710,  3 692,4.2,100.5,15.9,48.1,47.3,48.9,113.6,65
5192,Estimates,Sudan,729,SDN,Country/Area,1957,  7 514,  7 629,  3 825,  3 804,4.3,100.6,15.8,48.5,47.7,49.3,112,66
5193,Estimates,Sudan,729,SDN,Country/Area,1958,  7 745,  7 863,  3 944,  3 919,4.5,100.6,15.8,48.9,48,49.7,110.3,67
5194,Estimates,Sudan,729,SDN,Country/Area,1959,  7 981,  8 106,  4 067,  4 040,4.6,100.7,15.7,49.2,48.3,50.1,108.6,67
5195,Estimates,Sudan,729,SDN,Country/Area,1960,  8 232,  8 364,  4 197,  4 167,4.7,100.7,15.6,49.6,48.7,50.5,107.1,68
5196,Estimates,Sudan,729,SDN,Country/Area,1961,  8 497,  8 635,  4 334,  4 301,4.9,100.8,15.6,50,49.1,50.9,105.7,69
5197,Estimates,Sudan,729,SDN,Country/Area,1962,  8 773,  8 919,  4 478,  4 441,5.1,100.8,15.5,50.4,49.6,51.2,104.3,71
5198,Estimates,Sudan,729,SDN,Country/Area,1963,  9 065,  9 218,  4 629,  4 589,5.2,100.9,15.5,50.8,49.7,51.9,103,72
5199,Estimates,Sudan,729,SDN,Country/Area,1964,  9 371,  9 531,  4 787,  4 744,5.4,100.9,15.4,50.9,49.7,52.1,101.8,74
5200,Estimates,Sudan,729,SDN,Country/Area,1965,  9 691,  9 858,  4 952,  4 906,5.6,100.9,15.4,51,49.8,52.3,100.6,76
5201,Estimates,Sudan,729,SDN,Country/Area,1966,  10 025,  10 198,  5 123,  5 075,5.8,100.9,15.3,51.3,49.9,52.6,99.5,78
5202,Estimates,Sudan,729,SDN,Country/Area,1967,  10 370,  10 551,  5 300,  5 250,6,101,15.3,51.5,50.1,52.9,98.5,80
5203,Estimates,Sudan,729,SDN,Country/Area,1968,  10 731,  10 918,  5 485,  5 433,6.2,101,15.2,51.8,50.4,53.2,97.7,82
5204,Estimates,Sudan,729,SDN,Country/Area,1969,  11 105,  11 299,  5 676,  5 623,6.4,101,15.2,52,50.6,53.5,97,84
5205,Estimates,Sudan,729,SDN,Country/Area,1970,  11 493,  11 696,  5 876,  5 820,6.6,101,15.1,52.3,50.9,53.8,96.3,86
5206,Estimates,Sudan,729,SDN,Country/Area,1971,  11 899,  12 106,  6 082,  6 024,6.9,101,15.1,52.5,51.1,54,95.8,89
5207,Estimates,Sudan,729,SDN,Country/Area,1972,  12 313,  12 528,  6 294,  6 234,7.1,101,15,52.8,51.3,54.3,95.2,91
5208,Estimates,Sudan,729,SDN,Country/Area,1973,  12 743,  13 049,  6 562,  6 488,7.4,101.1,14.9,53,51.5,54.5,94.7,93
5209,Estimates,Sudan,729,SDN,Country/Area,1974,  13 355,  13 581,  6 835,  6 746,7.7,101.3,14.9,53.2,51.7,54.7,94.2,95
5210,Estimates,Sudan,729,SDN,Country/Area,1975,  13 806,  14 065,  7 082,  6 983,8,101.4,14.9,53.3,51.9,54.8,93.7,96
5211,Estimates,Sudan,729,SDN,Country/Area,1976,  14 324,  14 570,  7 341,  7 229,8.3,101.5,15,53.3,51.9,54.9,93.1,98
5212,Estimates,Sudan,729,SDN,Country/Area,1977,  14 816,  15 087,  7 605,  7 482,8.5,101.6,15,53.5,52.1,55,92.6,100
5213,Estimates,Sudan,729,SDN,Country/Area,1978,  15 357,  15 695,  7 923,  7 772,8.9,102,15.1,53.3,51.8,54.9,92,102
5214,Estimates,Sudan,729,SDN,Country/Area,1979,  16 033,  16 355,  8 271,  8 085,9.3,102.3,15.3,53.4,51.7,55.1,91.4,106
5215,Estimates,Sudan,729,SDN,Country/Area,1980,  16 678,  17 059,  8 641,  8 418,9.7,102.6,15.4,54.1,52.1,56.2,90.7,109
5216,Estimates,Sudan,729,SDN,Country/Area,1981,  17 440,  17 781,  9 017,  8 764,10.1,102.9,15.5,54.4,52.3,56.7,90.1,113
5217,Estimates,Sudan,729,SDN,Country/Area,1982,  18 121,  18 487,  9 381,  9 106,10.5,103,15.6,54.4,52.5,56.4,89.4,117
5218,Estimates,Sudan,729,SDN,Country/Area,1983,  18 852,  19 110,  9 693,  9 417,10.8,102.9,15.6,49.6,47.3,52.1,108.1,154
5219,Estimates,Sudan,729,SDN,Country/Area,1984,  19 368,  19 547,  9 901,  9 645,11.1,102.7,15.7,49.8,47.5,52.4,107,155
5220,Estimates,Sudan,729,SDN,Country/Area,1985,  19 725,  19 906,  10 072,  9 834,11.3,102.4,15.7,50,47.6,52.7,106,155
5221,Estimates,Sudan,729,SDN,Country/Area,1986,  20 086,  20 288,  10 254,  10 034,11.5,102.2,15.7,54.6,51.9,57.5,86.3,121
5222,Estimates,Sudan,729,SDN,Country/Area,1987,  20 490,  20 705,  10 453,  10 252,11.7,102,15.7,54.7,52,57.8,85.4,122
5223,Estimates,Sudan,729,SDN,Country/Area,1988,  20 920,  21 138,  10 661,  10 478,12,101.7,15.7,55,52.1,58.1,84.5,123
5224,Estimates,Sudan,729,SDN,Country/Area,1989,  21 357,  21 578,  10 871,  10 707,12.2,101.5,15.8,54.9,52,58.1,83.7,124
5225,Estimates,Sudan,729,SDN,Country/Area,1990,  21 799,  22 021,  11 083,  10 939,12.5,101.3,15.8,55.5,52.6,58.7,82.1,123
5226,Estimates,Sudan,729,SDN,Country/Area,1991,  22 244,  22 471,  11 298,  11 172,12.7,101.1,15.7,55.6,53,58.3,80.8,123
5227,Estimates,Sudan,729,SDN,Country/Area,1992,  22 697,  22 927,  11 519,  11 408,13,101,15.7,56,53.6,58.5,79.5,123
5228,Estimates,Sudan,729,SDN,Country/Area,1993,  23 157,  23 446,  11 772,  11 673,13.3,100.8,15.7,56.1,53.7,58.7,78.6,124
5229,Estimates,Sudan,729,SDN,Country/Area,1994,  23 734,  24 044,  12 066,  11 978,13.6,100.7,15.7,57,54.6,59.7,76.6,122
5230,Estimates,Sudan,729,SDN,Country/Area,1995,  24 354,  24 672,  12 374,  12 298,14,100.6,15.7,57.4,54.8,60.3,75.1,122
5231,Estimates,Sudan,729,SDN,Country/Area,1996,  24 990,  25 232,  12 646,  12 586,14.3,100.5,15.6,57.6,55,60.6,73.6,121
5232,Estimates,Sudan,729,SDN,Country/Area,1997,  25 473,  25 800,  12 921,  12 879,14.6,100.3,15.7,58.1,55.5,60.9,71.9,120
5233,Estimates,Sudan,729,SDN,Country/Area,1998,  26 127,  26 459,  13 244,  13 215,15,100.2,15.7,58.3,55.7,61.2,70.1,118
5234,Estimates,Sudan,729,SDN,Country/Area,1999,  26 791,  27 131,  13 573,  13 557,15.4,100.1,15.8,58.6,56.3,61.1,68.4,117
5235,Estimates,Sudan,729,SDN,Country/Area,2000,  27 470,  27 817,  13 911,  13 906,15.8,100,15.8,58.9,56.7,61.4,66.3,114
5236,Estimates,Sudan,729,SDN,Country/Area,2001,  28 164,  28 517,  14 254,  14 263,16.2,99.9,15.9,59.3,56.9,61.9,64.4,113
5237,Estimates,Sudan,729,SDN,Country/Area,2002,  28 870,  29 229,  14 602,  14 627,16.6,99.8,15.9,59.3,56.6,62.3,62.9,112
5238,Estimates,Sudan,729,SDN,Country/Area,2003,  29 587,  29 896,  14 924,  14 972,16.9,99.7,16,58.3,55.3,61.7,62.8,117
5239,Estimates,Sudan,729,SDN,Country/Area,2004,  30 205,  30 557,  15 239,  15 318,17.3,99.5,16,56.8,53.2,60.8,63.6,123
5240,Estimates,Sudan,729,SDN,Country/Area,2005,  30 909,  31 262,  15 574,  15 688,17.7,99.3,16,57.2,53.8,61.1,62.1,122
5241,Estimates,Sudan,729,SDN,Country/Area,2006,  31 616,  31 992,  15 926,  16 067,18.1,99.1,16.1,60.4,57.7,63.4,57.1,109
5242,Estimates,Sudan,729,SDN,Country/Area,2007,  32 369,  32 764,  16 302,  16 462,18.6,99,16.1,61.4,59,64.2,54.8,104
5243,Estimates,Sudan,729,SDN,Country/Area,2008,  33 160,  33 624,  16 724,  16 900,19.1,99,16.2,61.3,58.6,64.2,53.9,105
5244,Estimates,Sudan,729,SDN,Country/Area,2009,  34 088,  34 569,  17 192,  17 378,19.6,98.9,16.3,62.7,60.3,65.4,51.4,99
5245,Estimates,Sudan,729,SDN,Country/Area,2010,  35 050,  35 414,  17 610,  17 805,20.1,98.9,16.3,63,60.6,65.7,50.1,98
5246,Estimates,Sudan,729,SDN,Country/Area,2011,  35 779,  36 141,  17 968,  18 173,20.5,98.9,16.3,63.2,60.7,65.9,48.9,96
5247,Estimates,Sudan,729,SDN,Country/Area,2012,  36 503,  36 923,  18 353,  18 570,20.9,98.8,16.4,63.4,60.9,66.2,47.8,94
5248,Estimates,Sudan,729,SDN,Country/Area,2013,  37 344,  37 786,  18 777,  19 008,21.4,98.8,16.4,63.4,60.6,66.6,46.8,93
5249,Estimates,Sudan,729,SDN,Country/Area,2014,  38 228,  38 823,  19 288,  19 535,22,98.7,16.6,64,61.3,67,45.7,91
5250,Estimates,Sudan,729,SDN,Country/Area,2015,  39 419,  40 024,  19 881,  20 143,22.7,98.7,16.8,64.4,61.7,67.3,44.6,91
5251,Estimates,Sudan,729,SDN,Country/Area,2016,  40 630,  41 260,  20 491,  20 769,23.4,98.7,17,64.7,62,67.7,43.5,90
5252,Estimates,Sudan,729,SDN,Country/Area,2017,  41 889,  42 714,  21 211,  21 504,24.2,98.6,17.2,65.1,62.5,68,42.4,89
5253,Estimates,Sudan,729,SDN,Country/Area,2018,  43 539,  44 231,  21 961,  22 269,25.1,98.6,17.5,65.5,62.9,68.4,41.3,89
5254,Estimates,Sudan,729,SDN,Country/Area,2019,  44 922,  45 548,  22 612,  22 936,25.8,98.6,17.7,65.8,63.2,68.6,40.2,89
5255,Estimates,Sudan,729,SDN,Country/Area,2020,  46 174,  46 789,  23 224,  23 565,26.5,98.6,17.8,65.1,62.4,68.2,39.1,87
5256,Estimates,Sudan,729,SDN,Country/Area,2021,  47 404,  48 067,  23 852,  24 215,27.2,98.5,18,64.5,61.8,67.4,38.1,86
5257,Estimates,Sudan,729,SDN,Country/Area,2022,  48 730,  49 383,  24 500,  24 883,28,98.5,18.1,65.7,63,68.6,37.1,84
5258,Estimates,Sudan,729,SDN,Country/Area,2023,  50 037,  50 043,  24 822,  25 221,28.4,98.4,18.3,66.3,63.3,69.6,36.2,83
5259,Estimates,Tunisia,788,TUN,Country/Area,1950,  3 573,  3 609,  1 794,  1 815,23.2,98.8,19.1,38.2,37.2,39.2,183,49
5260,Estimates,Tunisia,788,TUN,Country/Area,1951,  3 645,  3 682,  1 831,  1 851,23.7,99,18.9,38.7,37.7,39.8,182.1,50
5261,Estimates,Tunisia,788,TUN,Country/Area,1952,  3 719,  3 758,  1 870,  1 888,24.2,99.1,18.7,39.3,38.2,40.4,181.2,51
5262,Estimates,Tunisia,788,TUN,Country/Area,1953,  3 797,  3 837,  1 911,  1 927,24.7,99.2,18.5,39.7,38.6,40.9,180.3,52
5263,Estimates,Tunisia,788,TUN,Country/Area,1954,  3 878,  3 920,  1 953,  1 967,25.2,99.3,18.3,40,38.7,41.4,179.2,53
5264,Estimates,Tunisia,788,TUN,Country/Area,1955,  3 961,  4 005,  1 996,  2 009,25.8,99.4,18.1,40.8,39.6,42,177.9,53
5265,Estimates,Tunisia,788,TUN,Country/Area,1956,  4 049,  4 083,  2 037,  2 046,26.3,99.5,17.8,41.3,40.2,42.5,176.5,54
5266,Estimates,Tunisia,788,TUN,Country/Area,1957,  4 116,  4 137,  2 065,  2 072,26.6,99.7,17.6,42.1,41,43.1,174.8,54
5267,Estimates,Tunisia,788,TUN,Country/Area,1958,  4 157,  4 178,  2 085,  2 092,26.9,99.7,17.5,42.7,41.7,43.7,172.9,54
5268,Estimates,Tunisia,788,TUN,Country/Area,1959,  4 198,  4 221,  2 107,  2 114,27.2,99.7,17.4,43.4,42.3,44.4,170.8,54
5269,Estimates,Tunisia,788,TUN,Country/Area,1960,  4 243,  4 267,  2 130,  2 137,27.5,99.7,17.3,44,43,45.1,168.4,53
5270,Estimates,Tunisia,788,TUN,Country/Area,1961,  4 291,  4 316,  2 154,  2 162,27.8,99.6,17.2,44.3,42.8,45.8,165.5,53
5271,Estimates,Tunisia,788,TUN,Country/Area,1962,  4 341,  4 369,  2 180,  2 189,28.1,99.6,17.1,45.6,44.6,46.6,162.4,52
5272,Estimates,Tunisia,788,TUN,Country/Area,1963,  4 397,  4 427,  2 209,  2 218,28.5,99.6,17,46.4,45.5,47.4,158.8,51
5273,Estimates,Tunisia,788,TUN,Country/Area,1964,  4 457,  4 490,  2 240,  2 249,28.9,99.6,17,47.3,46.3,48.3,154.9,50
5274,Estimates,Tunisia,788,TUN,Country/Area,1965,  4 522,  4 561,  2 276,  2 285,29.3,99.6,16.9,48.2,47.3,49.2,150.4,48
5275,Estimates,Tunisia,788,TUN,Country/Area,1966,  4 600,  4 652,  2 323,  2 330,29.9,99.7,16.7,49.2,48.2,50.2,145.8,46
5276,Estimates,Tunisia,788,TUN,Country/Area,1967,  4 704,  4 761,  2 378,  2 383,30.6,99.8,16.5,50.2,49.2,51.2,140.8,45
5277,Estimates,Tunisia,788,TUN,Country/Area,1968,  4 818,  4 880,  2 439,  2 441,31.4,99.9,16.4,51.3,50.4,52.4,135.6,42
5278,Estimates,Tunisia,788,TUN,Country/Area,1969,  4 942,  5 005,  2 502,  2 503,32.2,100,16.4,52.3,51.3,53.4,131,41
5279,Estimates,Tunisia,788,TUN,Country/Area,1970,  5 067,  5 131,  2 566,  2 565,33,100.1,16.4,53.8,52.7,54.9,124.7,38
5280,Estimates,Tunisia,788,TUN,Country/Area,1971,  5 195,  5 262,  2 633,  2 629,33.9,100.1,16.5,54.9,53.7,56.2,119.1,36
5281,Estimates,Tunisia,788,TUN,Country/Area,1972,  5 328,  5 397,  2 701,  2 695,34.7,100.2,16.5,56.1,54.8,57.5,113.6,34
5282,Estimates,Tunisia,788,TUN,Country/Area,1973,  5 465,  5 537,  2 773,  2 765,35.6,100.3,16.6,57.1,55.8,58.6,108.3,33
5283,Estimates,Tunisia,788,TUN,Country/Area,1974,  5 609,  5 685,  2 848,  2 837,36.6,100.4,16.6,58.3,56.9,59.7,102.7,31
5284,Estimates,Tunisia,788,TUN,Country/Area,1975,  5 760,  5 839,  2 926,  2 913,37.6,100.5,16.7,59.3,57.9,60.8,97.3,30
5285,Estimates,Tunisia,788,TUN,Country/Area,1976,  5 918,  5 997,  3 007,  2 990,38.6,100.5,16.8,60.3,58.9,61.8,92,28
5286,Estimates,Tunisia,788,TUN,Country/Area,1977,  6 076,  6 156,  3 088,  3 068,39.6,100.6,16.9,61.3,59.8,62.7,86.8,27
5287,Estimates,Tunisia,788,TUN,Country/Area,1978,  6 236,  6 309,  3 172,  3 138,40.6,101.1,17,62.1,60.7,63.7,81.9,25
5288,Estimates,Tunisia,788,TUN,Country/Area,1979,  6 383,  6 456,  3 259,  3 197,41.5,101.9,17.2,62.9,61.4,64.6,77.3,23
5289,Estimates,Tunisia,788,TUN,Country/Area,1980,  6 530,  6 606,  3 348,  3 258,42.5,102.8,17.4,63.7,62.1,65.4,72.9,22
5290,Estimates,Tunisia,788,TUN,Country/Area,1981,  6 682,  6 758,  3 439,  3 319,43.5,103.6,17.6,64.4,62.8,66.1,68.9,21
5291,Estimates,Tunisia,788,TUN,Country/Area,1982,  6 834,  6 909,  3 529,  3 380,44.4,104.4,17.9,65,63.4,66.7,65.3,20
5292,Estimates,Tunisia,788,TUN,Country/Area,1983,  6 983,  7 054,  3 617,  3 437,45.4,105.2,18.2,65.7,64.1,67.4,61.8,18
5293,Estimates,Tunisia,788,TUN,Country/Area,1984,  7 125,  7 220,  3 708,  3 512,46.5,105.6,18.4,66.3,64.7,68.1,58.6,17
5294,Estimates,Tunisia,788,TUN,Country/Area,1985,  7 315,  7 410,  3 804,  3 606,47.7,105.5,18.7,66.9,65.2,68.7,55.7,17
5295,Estimates,Tunisia,788,TUN,Country/Area,1986,  7 505,  7 600,  3 899,  3 701,48.9,105.4,18.9,67.4,65.7,69.3,53,16
5296,Estimates,Tunisia,788,TUN,Country/Area,1987,  7 696,  7 790,  3 995,  3 795,50.1,105.2,19.2,68,66.3,69.9,50.5,15
5297,Estimates,Tunisia,788,TUN,Country/Area,1988,  7 884,  7 974,  4 087,  3 887,51.3,105.1,19.4,68.5,66.7,70.4,48.2,14
5298,Estimates,Tunisia,788,TUN,Country/Area,1989,  8 065,  8 152,  4 176,  3 976,52.4,105,19.7,68.8,67,70.9,46.1,13
5299,Estimates,Tunisia,788,TUN,Country/Area,1990,  8 238,  8 325,  4 262,  4 062,53.6,104.9,20,69.1,67.2,71.2,44.1,12
5300,Estimates,Tunisia,788,TUN,Country/Area,1991,  8 411,  8 502,  4 348,  4 154,54.7,104.7,20.2,69.4,67.4,71.6,42.1,11
5301,Estimates,Tunisia,788,TUN,Country/Area,1992,  8 593,  8 683,  4 433,  4 249,55.9,104.3,20.5,69.7,67.7,71.9,40.1,11
5302,Estimates,Tunisia,788,TUN,Country/Area,1993,  8 772,  8 858,  4 515,  4 343,57,103.9,20.7,70,68,72.2,38.1,10
5303,Estimates,Tunisia,788,TUN,Country/Area,1994,  8 944,  9 018,  4 589,  4 429,58,103.6,21,70.4,68.3,72.6,36.1,9
5304,Estimates,Tunisia,788,TUN,Country/Area,1995,  9 093,  9 161,  4 656,  4 505,58.9,103.3,21.4,70.8,68.7,73.1,34.1,8
5305,Estimates,Tunisia,788,TUN,Country/Area,1996,  9 229,  9 294,  4 718,  4 576,59.8,103.1,21.8,71.2,69.1,73.6,32,7
5306,Estimates,Tunisia,788,TUN,Country/Area,1997,  9 359,  9 421,  4 777,  4 644,60.6,102.9,22.2,71.7,69.5,74,29.9,7
5307,Estimates,Tunisia,788,TUN,Country/Area,1998,  9 483,  9 542,  4 832,  4 709,61.4,102.6,22.6,72.1,69.9,74.4,28,6
5308,Estimates,Tunisia,788,TUN,Country/Area,1999,  9 600,  9 656,  4 884,  4 772,62.1,102.4,23,72.3,70.1,74.7,26.1,5
5309,Estimates,Tunisia,788,TUN,Country/Area,2000,  9 712,  9 765,  4 934,  4 831,62.8,102.1,23.4,72.6,70.4,75,24.4,5
5310,Estimates,Tunisia,788,TUN,Country/Area,2001,  9 818,  9 870,  4 981,  4 889,63.5,101.9,23.8,72.8,70.5,75.3,22.9,5
5311,Estimates,Tunisia,788,TUN,Country/Area,2002,  9 921,  9 972,  5 026,  4 945,64.2,101.6,24.2,73.1,70.8,75.5,21.5,4
5312,Estimates,Tunisia,788,TUN,Country/Area,2003,  10 022,  10 072,  5 071,  5 000,64.8,101.4,24.7,73.3,71,75.8,20.3,4
5313,Estimates,Tunisia,788,TUN,Country/Area,2004,  10 121,  10 166,  5 113,  5 053,65.4,101.2,25.1,73.5,71.2,76,19.2,4
5314,Estimates,Tunisia,788,TUN,Country/Area,2005,  10 211,  10 255,  5 153,  5 103,66,101,25.6,73.7,71.4,76.2,18.3,4
